Temperature,Humidity,WindSpeed,Pressure,WeatherType
0,95,20,990,Cloudy
1,93,15,992,Cloudy
2,90,12,995,Cloudy
3,88,10,997,Cloudy
4,85,8,999,Cloudy
5,83,7,1001,Cloudy
6,80,5,1003,Cloudy
7,78,6,1005,Cloudy
8,75,8,1007,Cloudy
9,73,9,1008,Cloudy
10,70,10,1010,Cloudy
11,68,11,1012,Cloudy
12,65,12,1013,Cloudy
13,63,12,1014,Cloudy
14,60,10,1015,Cloudy
15,58,9,1016,Cloudy
16,55,8,1017,Cloudy
17,53,7,1018,Cloudy
18,50,6,1019,Cloudy
19,48,7,1018,Cloudy
20,45,8,1017,Rainy
21,43,9,1016,Rainy
22,40,10,1015,Rainy
23,38,11,1014,Rainy
24,36,12,1013,Rainy
25,35,13,1012,Rainy
26,33,14,1011,Rainy
27,32,15,1010,Rainy
28,31,16,1009,Rainy
29,30,18,1008,Rainy
30,30,20,1007,Stormy
31,32,22,1006,Stormy
32,34,25,1005,Stormy
33,36,28,1004,Stormy
34,38,30,1003,Stormy
35,40,35,1002,Stormy
0,42,12,991,Sunny
1,44,14,993,Sunny
2,46,15,995,Sunny
3,48,16,997,Sunny
4,50,18,999,Sunny
5,52,20,1001,Sunny
6,54,22,1003,Sunny
7,56,25,1005,Sunny
8,58,28,1007,Sunny
9,60,30,1008,Sunny
10,62,32,1010,Sunny
11,64,34,1012,Sunny
12,66,36,1013,Sunny
13,68,38,1014,Sunny
14,70,40,1015,Sunny
15,72,35,1016,Sunny
16,74,30,1017,Sunny
17,76,28,1018,Sunny
18,78,25,1019,Sunny
19,80,22,1018,Sunny
20,82,20,1017,Sunny
21,84,18,1016,Sunny
22,86,16,1015,Sunny
23,88,14,1014,Sunny
24,90,12,1013,Sunny
25,92,10,1012,Sunny
26,94,8,1011,Sunny
27,96,6,1010,Sunny
28,98,5,1009,Sunny
29,95,7,1008,Sunny
30,92,10,1007,Sunny
31,90,12,1006,Sunny
32,88,14,1005,Sunny
33,85,16,1004,Sunny
34,83,18,1003,Sunny
35,80,20,1002,Sunny
0,78,22,990,Cloudy
1,76,25,992,Cloudy
2,74,28,995,Cloudy
3,72,30,997,Cloudy
4,70,32,999,Cloudy
5,68,35,1001,Cloudy
6,66,38,1003,Cloudy
7,64,40,1005,Cloudy
8,62,42,1007,Cloudy
9,60,44,1008,Cloudy
10,58,40,1010,Cloudy
11,56,38,1012,Cloudy
12,54,36,1013,Cloudy
13,52,34,1014,Cloudy
14,50,32,1015,Cloudy
15,48,30,1016,Cloudy
16,46,28,1017,Cloudy
17,44,26,1018,Cloudy
18,42,24,1019,Cloudy
19,40,22,1018,Cloudy
20,38,20,1017,Rainy
21,36,18,1016,Rainy
22,34,16,1015,Rainy
23,32,14,1014,Rainy
24,30,12,1013,Rainy
25,35,10,1012,Rainy
26,40,8,1011,Rainy
27,45,6,1010,Rainy
28,50,5,1009,Rainy
29,55,7,1008,Rainy
